"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Editors","Language of Original Document","Document Type","Publication Stage","Open Access","Source","EID"
"Lalitha, R.; Aisvarya, S.; Dhanusree, A.R.; Sreelekha, S.; Hanne Jenifer, R.","Lalitha, R. (56785967700); Aisvarya, S. (59988240300); Dhanusree, A. R. (59987279500); Sreelekha, Pavuluri Jhansi (58902638500); Hanne Jenifer, R. (59988047300)","56785967700; 59988240300; 59987279500; 58902638500; 59988047300","Enhanced sales forecasting of perishable and non- perishable goods using weather data with insights on Imports and price sensitivity","2025","","","","","","","0","0","10.1109/RMKMATE64874.2025.11042488","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010545699&doi=10.1109%2FRMKMATE64874.2025.11042488&partnerID=40&md5=c5581613f50098460c63501dc43be582","In the competitive restaurant industry, success hinges on accurate demand forecasting and optimal pricing strategies. Weather factors such as temperature, rain, and seasonal changes significantly impact consumer behavior, particularly affecting sales of goods categorized as highly perishable (e.g., fresh produce, dairy), perishable (e.g., bread, meat), and non-perishable (e.g., canned goods, dry ingredients). The project leverages historical weather patterns, ingredient prices, and machine learning to forecast sales and implement dynamic pricing, with a focus on import status and price sensitivity. Using Random Forest and ARIMA models, the system conducts time series analysis for precise demand prediction. Built with Python and utilizing libraries like scikit-learn and pandas, the project processes real-time weather and ingredient price data to enable timely price adjustments and inventory management. The data-driven approach empowers restaurants to maximize revenue, optimize menu pricing, and enhance customer satisfaction in a fluctuating market. © 2025 Elsevier B.V., All rights reserved.","ARIMA; Demand forecasting; dynamic pricing; highly perishable goods; import status; machine learning; non-perishable goods; perishable goods; price sensitivity; Random Forest; real-time data; restaurant sales; time series analysis; weather data","Consumer behavior; Costs; Customer satisfaction; Economics; Information management; Inventory control; Learning systems; Machine learning; Random forests; Sales; Sensitivity analysis; Thermal processing (foods); Weather forecasting; ARIMA; Demand forecasting; Dynamic pricing; Highly perishable good; Import status; Machine-learning; Non-perishable good; Perishable goods; Price sensitivity; Real-time data; Restaurant sale; Time-series analysis; Weather data; Time series analysis","","English","Conference paper","Final","","Scopus","2-s2.0-105010545699"
"Ma, J.; Dong, J.; Tu, Y.","Ma, Jun (57194083698); Dong, June Qiong (7403365043); Tu, Yiliu (58304532800)","57194083698; 7403365043; 58304532800","Pricing and AI Technology Adoption Decisions in a Competitive Supply Chain Network","2025","Lecture Notes in Business Information Processing","550 LNBIP","","","349","360","0","0","10.1007/978-3-031-94187-0_29","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008650735&doi=10.1007%2F978-3-031-94187-0_29&partnerID=40&md5=516ba5c96c709efc3bda19fc6d85f2d8","This paper develops an equilibrium model to investigate pricing and technology upgrade decisions in the context of supply chain versus supply chain competition. The model considers a two-echelon supply chain where manufacturers and retailers make decisions on pricing, output, and artificial intelligence technology upgrades. Demand is influenced by both price and service level, and technology upgrades implicitly enhance customer utility by improving the service level. These interdependencies across the supply chain significantly impact overall profitability. Consequently, pricing and technology upgrade decisions must be optimized collectively rather than in isolation. Three key features of this model are highlighted: First, our model is built upon the context of supply chain versus supply chain competition, rather than the context of firm versus firm competition. Second, it integrates pricing and technology upgrade decisions to enhance the overall performance of a supply chain network. The interplay between pricing strategies, technological advancements, and customer utility is analyzed to improve supply chain efficiency and competitiveness. Third, the model assumes that heterogeneous customers are sensitive to both price and service level, with technology upgrades playing a pivotal role in shaping customer preferences. We utilize variational inequalities to characterize the equilibrium conditions of the supply chain, enabling robust analysis and decision-making. This study provides a novel framework for understanding pricing and technology upgrade strategies in a competitive supply chain network, offering actionable insights for decision-makers seeking to optimize supply chain performance and enhance customer satisfaction in competitive markets. © 2025 Elsevier B.V., All rights reserved.","Network Equilibrium Model; Supply Chain Network Management; Technology Adoption; Variational Inequalities","Artificial intelligence; Competition; Costs; Decision making; Information use; Optimization; Public utilities; Sales; Supply chain management; Supply chains; Variational techniques; Competitive supply chains; Network equilibrium models; Networks management; Service levels; Supply chain network; Supply chain network management; Technology adoption; Technology upgrade; Upgrade decisions; Variational inequalities; Customer satisfaction","Tu, Y.P.; Chi, M.","English","Conference paper","Final","","Scopus","2-s2.0-105008650735"
"Al-Mahadeen, L.; Rathod, M.K.; Sulaiman, S.F.; Deepika, K.; Teltumbade, G.R.; Saravanakumar, R.","Al-Mahadeen, Layth (58687907200); Rathod, Maulik K. (59949996800); Sulaiman, Sakar Fatah (59704399800); Deepika, K. (59348739600); Teltumbade, Ganesh Ramesh (58175416200); Saravanakumar, Rengaraj (55587425400)","58687907200; 59949996800; 59704399800; 59348739600; 58175416200; 55587425400","Artificial Intelligence and Dynamic Pricing Strategies: Enhancing Competitiveness in E-Commerce","2025","","","","","","","0","0","10.1109/ICSSES64899.2025.11009613","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008352799&doi=10.1109%2FICSSES64899.2025.11009613&partnerID=40&md5=2d01a424c1a9aeb8d845a0d6febcac22","Dynamic pricing is vital for e-commerce companies to adapt to the dynamic pricing techniques if they have to maximize their revenues without having too much stock. To efficiently respond to changes in demand, accurate demand forecasting is central to the process of making changes in pricing. The main problem with conventional approaches to price determination is that usually there is no way the price can be changed in response to changes in the market. New developments in Fourier Analysis Networks (FANs) and Reinforcement Learning (RL) present the potential for improving demand forecasts and price optimization. The objective of this work is to implement FANs for demand forecasting in parallel to an RL agent for dynamic pricing and fine-tune the RL agent via Hyperband as the hyperparameter tuning method to create an efficient and adaptive pricing model. Thus, the integration of time series demand forecast with dynamic pricing mechanism allows for daily business to change their prices according to the forecasted demands, market status, and competitive prices. The hybrid system takes the demand forecast from the FANs to facilitate the RL agent's decision to set appropriate prices. RL agent acts with the environment, changing prices based on the forecasts of demand and stock, as well as the prices of competitors. Hyperband optimization, therefore, refines the hyperparameters of the agent to increase efficiency. The findings show how the implementation of the proposed hybrid system exceeds conventional pricing models. The demand forecast accuracy of the model stood at 95.65% to achieve better revenues uplifts. The presented framework provides the e-commerce companies with the opportunity for better adjustment and implementation of different pricing strategies to increase profitability and minimize the time spent on identification of different conditions on the market. © 2025 Elsevier B.V., All rights reserved.","Demand Forecasting; Dynamic Pricing; E-commerce; Fourier Analysis Networks (FANs); Hyperband Optimization; Real-time Pricing; Reinforcement Learning (RL)","Artificial intelligence; Competition; Costs; Forecasting; Fourier analysis; Hybrid systems; Optimization; Demand forecasting; Dynamic pricing; Fourier analyze network; Fourier's analysis; Hyperband; Hyperband optimization; Optimisations; Real time pricing; Reinforcement learning; Reinforcement learnings; Electronic commerce","","English","Conference paper","Final","","Scopus","2-s2.0-105008352799"
"Daruvuri, R.; Patibandla, K.K.; Mannem, P.","Daruvuri, Rajesh (59778016100); Patibandla, Kiran Kumar (59934130100); Mannem, Pravallika (59934855500)","59778016100; 59934130100; 59934855500","Data Driven Retail Price Optimization using XGBoost and Predictive Modeling","2025","","","","","220","225","0","1","10.1109/ICICCS65191.2025.10984940","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007520276&doi=10.1109%2FICICCS65191.2025.10984940&partnerID=40&md5=a5683213e6b21978c177bacc479ae5c7","Retail price optimization is a critical challenge in contemporary commerce, requiring robust methodologies to balance profitability and market competitiveness. This study introduces a data-driven framework employing advanced machine learning models, particularly XGBoost, to predict sales quantities, assess price elasticity, and determine optimal pricing strategies for diverse product categories. By leveraging historical sales data, seasonality indices, and category-specific attributes, the proposed approach effectively captures complex non-linear relationships that traditional models fail to address. Comprehensive experiments reveal XGBoost's superior performance in comparison to linear regression and other baseline methods, achieving lower Mean Absolute Error (MAE) and Root Mean Squared Error (RMSE) across multiple datasets. Furthermore, optimal price simulations indicate significant opportunities for revenue enhancement through targeted pricing adjustments. Visual and tabular analyses underscore the importance of seasonality and category-specific dynamics in shaping sales trends and pricing strategies. The findings validate the efficacy of the proposed framework in addressing the multifaceted demands of retail price optimization, paving the way for more informed and profitable decision-making in retail operations. © 2025 Elsevier B.V., All rights reserved.","machine learning; price elasticity; Retail price optimization; sales forecasting; seasonality analysis; XGBoost","Decision making; Mean square error; Data driven; Machine-learning; Price optimisation; Price-elasticity; Pricing strategy; Retail price; Retail price optimization; Sales forecasting; Seasonality analysis; Xgboost; Sales","","English","Conference paper","Final","","Scopus","2-s2.0-105007520276"
"Li, A.","Li, Aiqi (59926828900)","59926828900","Time Series Decision Analysis Based on Least Squares Method and LSTM","2025","Procedia Computer Science","261","","","29","37","0","0","10.1016/j.procs.2025.04.168","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007142207&doi=10.1016%2Fj.procs.2025.04.168&partnerID=40&md5=5207271a01bf60487fa203c644d58117","This study explores a novel approach combining the least squares technique with LSTM neural networks for time series analysis in decision-making processes. The research framework leverages the precise parameter estimation capabilities of least squares for establishing variable relationships, while utilizing LSTM's advanced pattern recognition to identify temporal dependencies in sequential data. Through practical implementation, the methodology establishes quantitative relationships between sales performance and pricing strategies using least squares, while employing LSTM architecture for forecasting inventory replenishment needs. The proposed analytical framework demonstrates significant capability in identifying complex temporal patterns, offering empirical evidence for data-informed corporate decision-making. Experimental outcomes substantiate the methodology's efficacy, presenting innovative tools and insights for temporal data analysis applications. © 2025 Elsevier B.V., All rights reserved.","Least Squares Method; LSTM Network; Optimal Cost-Plus Pricing; Replenishment Decision; Time Series Analysis","Cost benefit analysis; Data reduction; Time series; Least Square; Least squares techniques; Least-squares- methods; LSTM network; Neural-networks; Optimal cost-plus pricing; Optimal costs; Replenishment decision; Time-series analysis; Times series; Risk perception","Zhao, J.; Macintyre, J.; Ye, J.","English","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105007142207"
"Berry, S.; Bozanta, A.; Cevik, M.; Bulut, B.; Yigit, D.; Gonen, F.F.; Basar, A.","Berry, Sean (57652896500); Bozanta, Aysun (56108389000); Cevik, Mucahit (56251503100); Bulut, Beste (57271707600); Yigit, Deniz (57272131200); Gonen, Fahrettin Firat (54879746200); Basar, Ayse (21742123700)","57652896500; 56108389000; 56251503100; 57271707600; 57272131200; 54879746200; 21742123700","Time series clustering for grouping products based on price and sales patterns","2025","Information Technology and Management","","","106435","","","0","0","10.1007/s10799-025-00455-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006775176&doi=10.1007%2Fs10799-025-00455-4&partnerID=40&md5=aaaf0212910d9d18255820c8f32d2f0b","Developing technology and changing lifestyles have made online grocery delivery applications an indispensable part of urban life. Since the beginning of the COVID-19 pandemic, the demand for such applications has dramatically increased, creating new competitors that disrupt the market. An increasing level of competition might prompt companies to frequently restructure their marketing and product pricing strategies. Therefore, identifying the change patterns in product prices and sales volumes would provide a competitive advantage for the companies in the marketplace. In this paper, we investigate alternative clustering methodologies to group the products based on price patterns and sales volumes. We propose a novel distance metric that takes into account how product prices and sales move together rather than calculating the distance using numerical values. We compare our approach with traditional clustering algorithms, which typically rely on generic distance metrics such as Euclidean distance, and image clustering approaches that aim to group data by capturing its visual patterns. We evaluate the performances of different clustering algorithms using our custom evaluation metric as well as Calinski Harabasz and Davies Bouldin indices, which are commonly used internal validity metrics. We conduct our numerical study using a propriety Getir dataset from an online food and grocery delivery company, and the publicly available Favorita sales dataset. We find that our proposed clustering approach and image clustering both perform well for finding products with similar price and sales patterns within large datasets. © 2025 Elsevier B.V., All rights reserved.","Image clustering; Machine learning; Product pricing and sales; Time series clustering; Unsupervised learning","","","English","Article","aip","","Scopus","2-s2.0-105006775176"
"Ke, Y.; Wisaeng, K.","Ke, Yihan (59915816600); Wisaeng, Kittipol (55316963900)","59915816600; 55316963900","Factors Influencing Consumers’ Behavior Towards Chinese Products on E-Commerce Platforms in Thailand","2025","International Journal of Analysis and Applications","23","","108","","","0","0","10.28924/2291-8639-23-2025-108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006709994&doi=10.28924%2F2291-8639-23-2025-108&partnerID=40&md5=a7eaadd03a3a88de0600f8992e1c8bbe","The rapid growth of e-commerce in Thailand has reshaped consumer purchasing behavior, particularly concerning Chinese-branded products on leading platforms such as Shopee and Lazada. This study investigates the key factors influencing Thai consumers' purchasing decisions regarding Chinese-branded smartphones. By employing a machine learning model, the research identifies determinants such as product attributes, brand reputation, pricing strategies, and consumer reviews that significantly impact purchasing choices. The study utilizes data collected from 300 students across six regions in Thailand. It applies analytical methods such as Association Rule Mining (ARM), Support Vector Machine (SVM), and Decision Tree (DT) techniques to examine consumer behavior patterns. The findings reveal that detailed product descriptions, competitive pricing, and social influence are crucial in consumer decision-making. Mobile commerce and digital payment methods have also shaped Thailand's e-commerce landscape. The insights derived from this study provide strategic recommendations for businesses aiming to enhance market positioning, improve customer engagement, and develop targeted marketing strategies to boost sales of Chinese-branded smartphones in Thailand. © 2025 Elsevier B.V., All rights reserved.","Chinese-branded smartphones; consumer behavior; decision tree; decision-making factors; E-commerce; support vector machine","","","English","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105006709994"
"Sudirman, I.D.; Rahmah, R.","Sudirman, Ivan Diryana (57211852601); Rahmah, Rosyidah (58080858100)","57211852601; 58080858100","Dynamic Pricing Optimization for Coffee Shops Using a Machine Learning Approach with Random Forest Models","2025","","","","","1282","1286","0","0","10.1109/ICDT63985.2025.10986336","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006456435&doi=10.1109%2FICDT63985.2025.10986336&partnerID=40&md5=5395098e5d29aaa0ba8e0dc392264a1b","This study looks at how dynamic pricing can help coffee shops make more revenue using machine learning. It uses three months of sales data to find patterns and predict the effects of price changes. Simulations show that raising prices by 10% during afternoon peak hours brings the most revenue, while discounts and other adjustments also boost profits. A Random Forest model, with a strong predictive score (R2 = 0.984), captures the trends effectively. The results highlight how machine learning combined with point-of-sale systems can create smarter pricing strategies that match customer habits, driving both profits and satisfaction. © 2025 Elsevier B.V., All rights reserved.","Coffee shop revenue; Dynamic pricing; Machine learning; Predictive modeling; Random Forest","Coffee shop revenue; Coffee shops; Dynamic pricing; Machine learning approaches; Machine-learning; Optimisations; Predictive models; Price changes; Random forest modeling; Random forests; Shopping centers","","English","Conference paper","Final","","Scopus","2-s2.0-105006456435"
"Xue, Y.; Dong, Y.; Chong, C.","Xue, Yuhan (58684872800); Dong, Yiting (59896563700); Chong, Wu (7405579058)","58684872800; 59896563700; 7405579058","Projection neural networks for sample-regular product optimization model","2025","International Journal of Machine Learning and Cybernetics","","","108778","","","0","0","10.1007/s13042-025-02661-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005102338&doi=10.1007%2Fs13042-025-02661-6&partnerID=40&md5=d7e39e44be0ca3d8dae40b909d528b7d","Reducing product fit uncertainty is a critical strategy for retailers to enhance sales and profitability in e-commerce. This paper proposes an optimization-based product sampling strategy to improve sales promotion and profits using recurrent neural networks (RNN) method. Unlike conventional selling modes, the strategy allows consumers to purchase discounted product samples while receiving coupons for subsequent full-priced purchases. A profit optimization model is formulated incorporating constraints such as production costs. The methodological breakthrough lies in introducing RNN to solve this constrained optimization problem, offering a novel approach to dynamic pricing and marketing strategy optimization. In addition, a projection method has been introduced to avoid the additional operation of normalizing product prices in existing methods. The proposed RNN-based framework ensures real-time adaptability, robustness, and efficient convergence, which addresses the complexities of sample distribution and coupon redemption and provides a new perspective on pricing strategies for retailers. The feasibility and effectiveness of the model are demonstrated through numerical simulations, providing valuable insights for retailers seeking promotion-driven pricing strategies. © 2025 Elsevier B.V., All rights reserved.","Optimization with constraints; Projection operator; Recurrent neural networks; Sale promotion","Neural-networks; Optimisations; Optimization models; Optimization with constraint; Pricing strategy; Product optimization; Projection neural network; Projection Operator; Sales promotions; Uncertainty; Sales","","English","Article","aip","","Scopus","2-s2.0-105005102338"
"Malavika, V.; Mabel, N.M.; Dmonte, C.I.; Zaid, M.; Pramiee, L.J.","Malavika, V. K. (58151152900); Mabel, Nikita M. (59787294900); Dmonte, Chantelle I. (59790814600); Zaid, Mohammed (59793197600); Pramiee, Lenish J. (59739370400)","58151152900; 59787294900; 59790814600; 59793197600; 59739370400","Fair Price Prediction for Farmers: Leveraging Freshness of Perishable Goods Through Machine Learning and Sustainable Practices","2025","","","","","188","195","0","0","10.1109/CSNT64827.2025.10968584","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004557205&doi=10.1109%2FCSNT64827.2025.10968584&partnerID=40&md5=248da4e2438337dbefc936d8d88794e9","Fresh produce enhances sales and promotes better health, whereas stale stock leads to financial losses and significant food wastage. Additionally, inefficiencies in the perishable food supply chain contribute to sustainability challenges. This study proposes a system that integrates freshness classification and fair pricing mechanisms to support farmers and mitigate waste. The approach employs the VGG-16 model to classify produce as fresh or rotten, achieving 96.88% accuracy. Further freshness analysis is conducted using image processing techniques such as edge analysis with the Laplacian of Gaussian (LoG), texture analysis with Local Binary Patterns (LBP), and color analysis using the HSV model, yielding accuracies of 82%, 86%, and 87%, respectively. A computed freshness index enables shelf-life estimation, helping optimize inventory management and reduce waste. Additionally, a fair pricing model based on the freshness index ensures that farmers receive equitable compensation for their produce. The SARIMAX model, used for price prediction, achieves a Mean Absolute Percentage Error (MAPE) of 28.18%. By linking freshness assessment with pricing, this framework incentivizes better agricultural practices, enhances efficiency, promotes sustainability, and minimizes environmental impact. The proposed system contributes to a resilient and eco-friendly perishable food supply chain, benefiting both farmers and consumers. © 2025 Elsevier B.V., All rights reserved.","Artificial Intelligence; Computer Vision; Fair Price; Freshness Analysis; Freshness Classification; Freshness Index; Image Processing; Machine Learning; Shelf Life; Time Series Forecasting","Agricultural wastes; Cost benefit analysis; Image correlation; Optical flows; Waste utilization; Fair price; Food supply chain; Freshness analyze; Freshness classification; Freshness index; Images processing; Machine-learning; Price prediction; Shelf life; Time series forecasting; Photointerpretation","","English","Conference paper","Final","","Scopus","2-s2.0-105004557205"
"Guo, X.; Zhang, L.","Guo, Xiaochen (59755854900); Zhang, Lei (59755690700)","59755854900; 59755690700","Dynamic Pricing Models in E-Commerce: Exploring Machine Learning Techniques to Balance Profitability and Customer Satisfaction","2025","IEEE Access","13","","","72994","73002","0","1","10.1109/ACCESS.2025.3563371","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003622435&doi=10.1109%2FACCESS.2025.3563371&partnerID=40&md5=49e4a68d43e749974d75d7d4fd27de2b","This research investigates the application of Recurrent Neural Networks (RNNs), specifically Long Short-Term Memory (LSTM) networks, paired with gradient-based optimization techniques for dynamic pricing in e-commerce. The primary objective is to develop a pricing model that effectively balances profitability with customer satisfaction by leveraging sequential data, such as time-series and customer behavior patterns. The approach utilizes LSTM’s ability to capture long-term dependencies in sequential data, while optimization methods like Stochastic Gradient Descent (SGD) enhance model convergence and performance. Key findings include the superior predictive accuracy of LSTM-based models over traditional approaches like Linear Regression and Decision Trees, particularly in real-time data updates and price elasticity scenarios. Additionally, the analysis revealed that LSTM models could efficiently adapt pricing strategies in response to market dynamics, significantly improving profitability while maintaining customer satisfaction. This study provides valuable insights into the application of advanced machine learning techniques in e-commerce pricing. The results suggest that LSTM-based dynamic pricing models could optimize revenue generation, offering substantial implications for pricing strategy development in modern retail environments. Future work may explore hybrid models and multi-objective optimization techniques to further refine these models. © 2025 Elsevier B.V., All rights reserved.","customer satisfaction; Dynamic pricing; E-commerce; gradient-based optimization; long short-term memory (LSTM); machine learning; profitability; recurrent neural networks (RNNs); sequential data; stochastic gradient descent (SGD)","Electronic money; Marketplaces; Mobile commerce; Quality function deployment; Sales; Stochastic models; Customers' satisfaction; Dynamic pricing; Gradient-based optimization; Long short-term memory; Machine-learning; Neural-networks; Recurrent neural network; Sequential data; Short term memory; Stochastic gradient descent; User experience","","English","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105003622435"
"Apte, M.; Datar, P.; Kale, K.; Deshmukh, P.R.","Apte, Mohit (59341948100); Datar, Pranav (59476942100); Kale, Ketan (59476680000); Deshmukh, Pratiksha Vilas (57218274515)","59341948100; 59476942100; 59476680000; 57218274515","Dynamic Retail Pricing via Q-Learning - A Reinforcement Learning Framework for Enhanced Revenue Management","2025","","","","","","","0","2","10.1109/ICAET63349.2025.10932302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002472696&doi=10.1109%2FICAET63349.2025.10932302&partnerID=40&md5=e4c258056957c4b4de7bc4c578a247b6","This study examines how a reinforcement learning (RL) framework, utilizing the Q-Learning algorithm, can improve dynamic pricing techniques in retail. Contrary to conventional pricing methodologies, which often depend on fixed demand assumptions, our RL-based strategy adapts continuously to changing market situations, thereby providing a more adaptable and responsive pricing mechanism. By constructing a simulated retail environment, we show how RL efficiently tackles real-time shifts in consumer behavior and market conditions, resulting in superior revenue performance. Our findings highlight not only the RL model's ability to outperform traditional methods in revenue generation, but also its capacity to reveal intricate relationships between price sensitivity and demand. This research demonstrates the significant promise of artificial intelligence-driven approaches to economic decision-making, and it outlines how more advanced, data-focused pricing strategies can be used across varied commercial fields. © 2025 Elsevier B.V., All rights reserved.","Dynamic Pricing; Operations Research; Price Elasticity; Q-Learning; Reinforcement Learning; Revenue Management","Costs; Reinforcement learning; Sales; Dynamic pricing; Learning frameworks; Market situation; Operation research; Price-elasticity; Q-learning; Q-learning algorithms; Reinforcement learnings; Retail pricing; Revenue management; Adversarial machine learning","","English","Conference paper","Final","","Scopus","2-s2.0-105002472696"
"Ma, J.; Li, X.; Guo, J.; Li, Q.","Ma, Jingxuan (59302752700); Li, Xin (59725838200); Guo, Jiajie (59726511500); Li, Qiuyue (56142750000)","59302752700; 59725838200; 59726511500; 56142750000","A Solution to the Problem of Retail Credit Risk Pricing Problem Based on the Machine Learning XGBoost Algorithm","2025","Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST","605 LNICST","","","172","186","0","0","10.1007/978-3-031-86196-3_15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002050285&doi=10.1007%2F978-3-031-86196-3_15&partnerID=40&md5=a248fb596d9d6953e9d078122180cf88","Machine learning algorithms, represented by logistic regression and decision tree algorithms, have a wide range of applications in retail credit risk management, such as anti fraud models, application scoring models, behavioural scoring models and overdue collection scoring models, which are used to assess the credit risk level of customers at different stages of the retail credit process. The integrated decision tree model, represented by the XGBoost algorithm, constructs the model using more variables and although it lacks the necessary interpretability, its predictions are more accurate. Traditional retail risk pricing typically uses a preapplication scoring model to enforce different product prices for customers with different risk ratings. Based on the XGBoost algorithm and personal credit information from the People’s Bank of China and other tripartite credit bureaus, we attempt to develop a retail risk pricing model based on the actual loan disbursement of the customers, which is used to apply different product prices to customers with different risk ratings, while at the same time remarketing to customers who have not disbursed historically. The data for the construction of the retail risk pricing model are taken from a retail personal loan business of a financial institution, and customers who are approved but not actually withdraw money are marked as 1, while those who are approved and actually withdraw money are marked as 0. © 2025 Elsevier B.V., All rights reserved.","Machine learning XGBoost algorithm; Personal credit data; Retail credit risk pricing","Decision trees; Sales; Credit data; Credit risks; Machine learning xgboost algorithm; Machine-learning; Personal credit; Personal credit data; Retail credit; Retail credit risk pricing; Risk pricing; Scoring models","Chen, H.-H.; Meng, W.","English","Conference paper","Final","","Scopus","2-s2.0-105002050285"
"Lu, C.; Zhao, Y.; Du, Y.; Liu, M.","Lu, Caixia (59697596600); Zhao, Yuanyuan (57222724184); Du, Ye (59698656100); Liu, Mingming (58737419700)","59697596600; 57222724184; 59698656100; 58737419700","Enhancing Business Data Integration and Accuracy Through Federated Models: A Case Study in Electricity Customer Enterprises","2025","Lecture Notes on Data Engineering and Communications Technologies","235","","","889","901","0","0","10.1007/978-981-96-0211-7_80","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000316897&doi=10.1007%2F978-981-96-0211-7_80&partnerID=40&md5=9260761a551134bb8326e6e65573fdb5","In the era of digital transformation, managing complex data applications in the electricity sector demands innovative approaches to enhance accessibility, accuracy, and strategic utility. This paper introduces and explores the implementation of three pivotal business federated data models tailored for electricity customer enterprises. Firstly, the Marketing Enterprise Information Screening Model filters and de-duplicates non-residential electricity users, ensuring the accuracy and reliability of customer records for effective marketing strategies. Secondly, the Equity Penetration-Based Economic Composition Labeling Model classifies enterprise nature through sophisticated equity analysis, enabling customized service strategies and pricing models. Thirdly, the Multi-source Information-Based Intelligent Enterprise Archive Matching Model integrates diverse data sources using advanced algorithms, ensuring comprehensive customer data integration and accuracy. Grounded in data middle platform capability architecture and data governance theories, these models optimize data assets and foster a cohesive business-data ecosystem. Their implementation supports digital transformation goals by facilitating a unified grid view, real-time monitoring, and efficient material management. Furthermore, they contribute to a multi-dimensional benefit management system, enhancing financial transparency and operational efficiency. By prioritizing data integrity, accessibility, and strategic alignment, these models propel our organization towards greater agility and competitiveness in the evolving energy landscape. As we refine and expand these frameworks, we anticipate continuous improvements in decision-making and operational excellence, cementing our leadership in the electricity sector’s digital frontier. © 2025 Elsevier B.V., All rights reserved.","Business federated data models; Data integration; Machine learning","Data integrity; Sales; Business data; Business federated data model; Case-studies; Complex data; Data application; Digital transformation; Electricity customers; Electricity sector; Machine-learning; Sector demand; Data accuracy","","English","Conference paper","Final","","Scopus","2-s2.0-105000316897"
"Nowak, M.; Pawłowska-Nowak, M.","Nowak, Marcin L. (57209148117); Pawłowska-Nowak, Marta (58768079000)","57209148117; 58768079000","Dynamic Pricing Method in the E-Commerce Industry Using Machine Learning","2024","Applied Sciences (Switzerland)","14","24","11668","","","0","7","10.3390/app142411668","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213225779&doi=10.3390%2Fapp142411668&partnerID=40&md5=3241039f4cee7c88d3c1d167d5484f81","Featured Application: The proposed dynamic pricing method provides an actionable tool for e-commerce managers aiming to enhance their pricing strategies with real-time adjustments based on customer behavior, competitor pricing, and market dynamics. Through this approach, e-commerce platforms can efficiently leverage machine learning to personalize pricing at an individual customer level, ultimately maximizing revenue opportunities and customer satisfaction. Beyond direct pricing optimization, this method can also be adapted as a robust decision support system for small to medium-sized online retailers. By integrating user-specific purchasing data, the model can help predict optimal pricing actions, enabling businesses to navigate highly competitive markets while maintaining profitability and customer loyalty. One of the key areas of contemporary marketing is the formulation of a pricing strategy, which is one of the four pillars of the traditional marketing mix. One way to implement this strategy is through dynamic pricing. It is currently gaining popularity in many industries for two reasons. Firstly, it is possible, easy, and cheap to collect information about transactions and customers. Secondly, machine learning mechanisms, for which these data are essential, are becoming widely available. The aim of this article is to propose a dynamic pricing method for the e-commerce industry. To achieve this goal, machine learning methods such as the Naive Bayes classifier, support vector machines (linear and nonlinear), decision trees, and the k-nearest neighbor algorithm were used. The empirical results indicate that the linear support vector machine achieved the highest accuracy (86.92%), demonstrating the model’s effectiveness in classifying pricing decisions. This article aligns with two leading research trends in dynamic pricing: personalized dynamic pricing (the target model considers customer-related criteria) and the development of systems to assist managers in optimizing pricing strategies to increase revenues (using machine learning methods). This article presents a literature review on dynamic pricing and then discusses the machine learning methods applied. In the final part of this article, verification of the developed dynamic pricing method using real-world conditions is presented. © 2024 Elsevier B.V., All rights reserved.","dynamic pricing; e-commerce; machine learning; pricing strategies","Costs; Marketplaces; Nearest neighbor search; Sales; Support vector machines; Customer behavior; Dynamic pricing; E- commerces; Machine learning methods; Machine-learning; Market dynamics; Pricing methods; Pricing strategy; Real- time; Time adjustment; Adversarial machine learning","","English","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85213225779"
